,file_name,confidence,transcript,tokens,streets,numbers,full_streets
0,sample27-enhanced-25818-20200501-1210.wav,0.7492862343788147, and shoes help to 1433 Washington Street West Roxbury 4833 wife one of your comments eleven fifty five eighty-five,"['and', 'shoes', 'help', 'to', 'Washington', 'Street', 'West', 'Roxbury', 'wife', 'one', 'of', 'your', 'comments', 'eleven', 'fifty', 'five']","Washington , West",['1433'],"['1433 West', '1433 Washington']"
1,sample104-enhanced-25818-20200502-1332.wav,0.6656994223594666, 37 first year in the left.,"['first', 'year', 'in', 'the', 'left']",The,['37'],['37 The']
2,sample38-enhanced-25818-20200502-1531.wav,0.5871551036834717,7 removed also since the very same thing,"['removed', 'also', 'since', 'the', 'very', 'same', 'thing']",The,['7'],['7 The']
3,sample49-enhanced-25818-20200501-1210.wav,0.7639101147651672,nobody's. Full buildings all around the launch going before and 11:15 hours and 17 and 12 a.m.,"['nobody', 'Full', 'buildings', 'all', 'around', 'the', 'launch', 'going', 'before', 'and', 'hours', 'and', 'and']",The,['11:15'],['11:15 The']
4,sample141-enhanced-25818-20200502-1431.wav,0.8391940593719482,3746 a Central Station alarm 123 Smith Street Roxbury engine 3726 a Central Station alarm 1-3 Roxbury us box 2361 Parker Street and mcgreevey way,"['a', 'Central', 'Station', 'alarm', 'Smith', 'Street', 'Roxbury', 'engine', 'a', 'Central', 'Station', 'alarm', 'Roxbury', 'us', 'box', 'Parker', 'Street', 'and', 'mcgreevey', 'way']","Central , Station , Smith , Central , Station , Parker , Way","['3746', '123', '2361']","['123 Station', '123 Smith', '3746 Smith', '2361 Central', '3746 Central', '2361 Parker', '2361 Smith', '123 Parker', '123 Way', '2361 Way', '3746 Way', '2361 Station', '3746 Parker', '123 Central', '3746 Station']"
5,sample65-enhanced-25818-20200502-1531.wav,0.8792307376861572,Fortune Route 146 North Lake,"['Fortune', 'Route', 'North', 'Lake']","North , Lake",['146'],"['146 Lake', '146 North']"
6,sample382-enhanced-25818-20200502-1501.wav,0.7917106151580809,52 Hillsdale Street Dorchester Madison a cardiac disorders 52 wholesale Street Dorchester us box 3467 Adams at wholesale Street 1500,"['Hillsdale', 'Street', 'Dorchester', 'Madison', 'a', 'cardiac', 'disorders', 'wholesale', 'Street', 'Dorchester', 'us', 'box', 'Adams', 'at', 'wholesale', 'Street']","Hillsdale , Dorchester , Madison , Dorchester , Adams","['52', '52']","['52 Madison', '52 Hillsdale', '52 Adams', '52 Dorchester']"
7,sample318-enhanced-25818-20200502-1501.wav,0.8963192701339722,170 Morton Street Jamaica Plain 1435,"['Morton', 'Street', 'Jamaica', 'Plain']","Morton , Plain",['170'],"['170 Morton', '170 Plain']"
8,sample156-enhanced-25818-20200502-1431.wav,0.7084743976593018,Roxbury your Xbox to 366 Parker Street,"['Roxbury', 'your', 'Xbox', 'to', 'Parker', 'Street']",Parker,['366'],['366 Parker']
9,sample18-enhanced-25818-20200501-1210.wav,0.7512972950935364,100 Moore Street and Columbus 48,"['Moore', 'Street', 'and', 'Columbus']","Moore , Columbus",['100'],"['100 Moore', '100 Columbus']"
10,sample82-enhanced-25818-20200502-1332.wav,0.8449653387069702,Dorchester 1916 a medical assist to 1190 Adams Street Dorchester your Xbox 3471 West Hill Street 1305,"['Dorchester', 'a', 'medical', 'assist', 'to', 'Adams', 'Street', 'Dorchester', 'your', 'Xbox', 'West', 'Hill', 'Street']","Dorchester , Adams , Dorchester , West , Hill","['1190', '3471']","['3471 Adams', '3471 Dorchester', '1190 Dorchester', '1190 Adams', '1190 West', '3471 Hill', '3471 West', '1190 Hill']"
11,sample79-enhanced-25818-20200502-1332.wav,0.7033248543739319,magical one special square piece office nearest box 6163 Bennington street at circle square 1304,"['magical', 'one', 'special', 'square', 'piece', 'office', 'nearest', 'box', 'Bennington', 'street', 'at', 'circle', 'square']","Bennington , Circle",['6163'],"['6163 Circle', '6163 Bennington']"
12,sample248-enhanced-25818-20200502-1222.wav,0.7812270522117615,46 Blackstone Street 136 Black Market,"['Blackstone', 'Street', 'Black', 'Market']","Blackstone , Black , Market",['46'],"['46 Blackstone', '46 Black', '46 Market']"
13,sample333-enhanced-25818-20200502-1501.wav,0.7749338746070862,talk 121 121 Tremont Street Red Line Northbound platform is there a number 250-1441 and for how long as I see that somebody better,"['talk', 'Tremont', 'Street', 'Red', 'Line', 'Northbound', 'platform', 'is', 'there', 'a', 'number', 'and', 'for', 'how', 'long', 'as', 'I', 'see', 'that', 'somebody', 'better']","Tremont , Red , Line , Long",['121'],"['121 Red', '121 Tremont', '121 Long', '121 Line']"
14,sample211-enhanced-25818-20200502-1222.wav,0.6098511815071106,question commercial last night 62nd Street and East Side Bar and Grill,"['question', 'commercial', 'last', 'night', 'Street', 'and', 'East', 'Side', 'Bar', 'and', 'Grill']","Commercial , East",['62nd'],"['62nd East', '62nd Commercial']"
15,sample211-enhanced-25818-20200502-1222.wav,0.7671465873718262, 2nd and 28th Avenue,"['and', 'Avenue']","2nd , Avenue",['2nd'],"['2nd 2nd', '2nd Avenue']"
16,sample155-enhanced-25818-20200502-1431.wav,0.6661879420280457,is Annapolis 15 Annapolis Street Dorchester 180-714-1621,"['is', 'Annapolis', 'Annapolis', 'Street', 'Dorchester']",Dorchester,['15'],['15 Dorchester']
17,sample371-enhanced-25818-20200502-1501.wav,0.7887021899223328,183 Woodside Ave 183 Woodley Ave West Roxbury 16 and 1456,"['Woodside', 'Ave', 'Woodley', 'Ave', 'West', 'Roxbury', 'and']","Woodside , West","['183', '183']","['183 Woodside', '183 West']"
18,sample81-enhanced-25818-20200502-1332.wav,0.8062012195587158, kind of nomadic 33 Bond Street Dorchester engine 2933 Bond Street Dorchester us box 31761 Sandy Hill Street. This is 05,"['kind', 'of', 'nomadic', 'Bond', 'Street', 'Dorchester', 'engine', 'Bond', 'Street', 'Dorchester', 'us', 'box', 'Sandy', 'Hill', 'Street', 'This', 'is']","Bond , Dorchester , Bond , Dorchester , Sandy , Hill","['33', '2933']","['2933 Sandy', '33 Sandy', '33 Hill', '33 Dorchester', '2933 Dorchester', '33 Bond', '2933 Hill', '2933 Bond']"
19,sample89-enhanced-25818-20200502-1332.wav,0.6593670248985289,it's 550 Clifton Street also,"['it', 'Clifton', 'Street', 'also']",Clifton,['550'],['550 Clifton']
20,sample366-enhanced-25818-20200502-1501.wav,0.6704543828964233,resolved emphatic for assisted living in 220 West 5th Street from the following options. For one,"['resolved', 'emphatic', 'for', 'assisted', 'living', 'in', 'West', 'Street', 'from', 'the', 'following', 'options', 'For', 'one']","West , 5th , The",['220'],"['220 West', '220 The', '220 5th']"
21,sample107-enhanced-25818-20200502-1332.wav,0.6888957619667053,2424 in Sam Adams had for Hiawatha Road and before Hiawatha for the OBGYN,"['in', 'Sam', 'Adams', 'had', 'for', 'Hiawatha', 'Road', 'and', 'before', 'Hiawatha', 'for', 'the', 'OBGYN']","Adams , Hiawatha , Hiawatha , The",['2424'],"['2424 Hiawatha', '2424 The', '2424 Adams']"
22,sample202-enhanced-25818-20200502-1222.wav,0.603642463684082,stop music and play next to the 64 crash.,"['stop', 'music', 'and', 'play', 'next', 'to', 'the', 'crash']","Music , The",['64'],"['64 Music', '64 The']"
23,sample3-enhanced-25818-20200502-1531.wav,0.6980569958686829,26 for Central Station alarm for 59 hard drive box an engine 37 ladder 26 A Central Station alarm for 59 Park Drive Boston Red Sox to Thursday we can trade a lot of our circles 1500,"['for', 'Central', 'Station', 'alarm', 'for', 'hard', 'drive', 'box', 'an', 'engine', 'ladder', 'A', 'Central', 'Station', 'alarm', 'for', 'Park', 'Drive', 'Boston', 'Red', 'Sox', 'to', 'Thursday', 'we', 'can', 'trade', 'a', 'lot', 'of', 'our', 'circles']","Central , Station , Drive , Central , Station , Park , Drive , Boston , Red","['26', '59']","['26 Station', '26 Drive', '59 Park', '59 Red', '59 Boston', '26 Park', '59 Central', '59 Station', '26 Boston', '59 Drive', '26 Red', '26 Central']"
24,sample103-enhanced-25818-20200502-1332.wav,0.5863825678825378,shut off the 2013 campaign,"['shut', 'off', 'the', 'campaign']","Off , The",['2013'],"['2013 The', '2013 Off']"
25,sample159-enhanced-25818-20200502-1431.wav,0.7557908892631531,7th Street Roxbury your Xbox to 366 Trail off and Parker Street 14-7,"['Street', 'Roxbury', 'your', 'Xbox', 'to', 'Trail', 'off', 'and', 'Parker', 'Street']","7th , Off , Parker",['366'],"['366 Off', '366 7th', '366 Parker']"
26,sample160-enhanced-25818-20200502-1431.wav,0.777276337146759,Internet space Roxbury you Xbox to 361 Parker Street in the freeway 14,"['Internet', 'space', 'Roxbury', 'you', 'Xbox', 'to', 'Parker', 'Street', 'in', 'the', 'freeway']","Parker , The",['361'],"['361 The', '361 Parker']"
27,sample31-enhanced-25818-20200502-1531.wav,0.7657814025878906,aesthetic for ten minutes correspondent number 40 Rosalie road before twenty-three year old females with Destiny attention synthetic for response number 40 wrong road twenty-three year old female adjustments nearest box 916 Country Club Road in Greenwich great City,"['aesthetic', 'for', 'ten', 'minutes', 'correspondent', 'number', 'Rosalie', 'road', 'before', 'year', 'old', 'females', 'with', 'Destiny', 'attention', 'synthetic', 'for', 'response', 'number', 'wrong', 'road', 'year', 'old', 'female', 'adjustments', 'nearest', 'box', 'Country', 'Club', 'Road', 'in', 'Greenwich', 'great', 'City']","Ten , Old , Old , Country , Greenwich , Great , City","['40', '40']","['40 Country', '40 Ten', '40 Greenwich', '40 Old', '40 City', '40 Great']"
28,sample40-enhanced-25818-20200501-1210.wav,0.7415682077407837,15607 Brookside Ave to assist Medics free with an expectation the vaccine and 167 plus side out with the synthetic 3 a.m.,"['Brookside', 'Ave', 'to', 'assist', 'Medics', 'free', 'with', 'an', 'expectation', 'the', 'vaccine', 'and', 'plus', 'side', 'out', 'with', 'the', 'synthetic']","Brookside , The , The","['15607', '167']","['167 The', '167 Brookside', '15607 Brookside', '15607 The']"
29,sample83-enhanced-25818-20200502-1332.wav,0.5368311405181885,23 blast single-family I know the amount sent you know 621,"['blast', 'I', 'know', 'the', 'amount', 'sent', 'you', 'know']",The,['23'],['23 The']
30,sample290-enhanced-25818-20200502-1401.wav,0.7406046390533447,74196 post and was the last four,"['post', 'and', 'was', 'the', 'last', 'four']","Post , The",['74196'],"['74196 Post', '74196 The']"
31,sample273-enhanced-25818-20200502-1401.wav,0.7991303205490112, that deliver industry Roslindale box 3794 Washington Street again Sarah 1345,"['that', 'deliver', 'industry', 'Roslindale', 'box', 'Washington', 'Street', 'again', 'Sarah']","Washington , Sarah",['3794'],"['3794 Sarah', '3794 Washington']"
