transcript,type
"One 5'7"", the second with darker skin, both suspects armed with firearms, driving a Black Mercedes SUV.  Carjacked at 816 memorial drive at the gas station in Cambridge, Suspects are two middle eastern males, on is 5'7"", second one with",is_crime
"darker skin, no description on clothing yet, ahh both are armed with firearms""",is_crime
"508, inaudible...supposedly he is saying inaudible...fled towards Harvard Square. I believe he also said one of the suspects went into the Shell Station and paid cash for gas, put gas in the car, before they fled and that was when the victim was able to get out of the vehicle",is_crime
" Control:  they went into that gas station, paid cash for gas and then fled towards Harvard Square?",is_crime
"Yea, I believe they have video in that Shell station, I am with the victim and believe they have video in the station",is_crime
Inaudible.... tow truck driver just inaudible,is_crime
" Tango inaudible....Does the victim report the operator, that was operating the vehicle was armed with a firearm but he was unsure about the passenger",is_crime
He said the operator of the vehicle displayed a firearm,is_crime
"shots fired, shots fired, one of our guys ........inaudible....requesting additional help 4 cruisers in route...inaudible....that way,.......you're right.......going to try to block them in the alley",is_crime
 they are both armed with sidearm's - you said they paid cash at the Shell Station and fled towards Harvard Square,is_crime
"yea, but only but one firearm and only the driver displayed the firearm",is_crime
_________________________________,is_crime
"copy, driver displayed the firearm, was he the darker or lighter skinned one who displayed the firearm?",is_crime
inaudible.......slight facial hair.,is_crime
"Okay the second one is now armed with a firearm- darker skinned male, middle eastern, both are the same height as the first, both are 5'7"" and the darker skinned male is armed with a firearm.",is_crime
inaudible.....no that's okay I'll wait from here.,is_crime
be advised they have left the back door open -  it's all set -,is_crime
Charlie where is the car parked?,is_crime
inaudible  ....you can add me to the board.  be advised - myself and the 609 will be partnered with MIT officers running calls through Cambridge -,is_crime
Copy the 594 and 609 will be assisting MIT.,is_crime
Is there an officer driving the 609 right now?,is_crime
yes sir it's been assigned to MIT along with the inaudible.,is_crime
what officer is in that vehicle - the 609?,is_crime
it is the 532,is_crime
"yea 532 the weapon is not in the back of that vehicle,  repeat negative on that weapon system.",is_crime
"E4, E1, E2 be advised on the MIT shooting - The victim is stating the vehicle is heading possibly to New York City -involving that shooting at MIT  137 NZ1 Mercedes 350, possibly heading to New York and involving that shooting at MIT.",is_crime
do you have an age on the suspects?,is_crime
low to mid 20's,is_crime
12:42:03 am - Okay - start heading over there - I'll let them know,is_crime
car 5 to that unit we are in the Square if you want to jump in - I'm a I'm already,is_crime
mobile with inaudible.,is_crime
So 5 are heading over to Watertown as well - Car5?,is_crime
12:42:21 am - Control You have notified Watertown right?,is_crime
Affirmative,is_crime
"inaudible......water canister - its gonna be cigarettes, pretty big area - just smoldering.",is_crime
are there any units with a water canister in their car?,is_crime
