,file_name,confidence,transcript,tokens,streets,numbers,full_streets
0,sample92-25818-20200501-0941.wav,0.692421913,having a t show jokes to 19219 South Street,"['having', 'a', 't', 'show', 'jokes', 'to', 'South', 'Street']",South,['19219'],['19219 South']
1,sample52-25818-20200501-1240.wav,0.659736931,495 North despite a 13 sat on the 1st and 2nd traveling,"['North', 'despite', 'a', 'sat', 'on', 'the', 'and', 'traveling']","North , The , 1st , 2nd",['495'],"['495 The', '495 1st', '495 North', '495 2nd']"
2,sample1232-25818-20200501-1310.wav,0.726749361,"Island, 47th Street. Our address is 7173 Highland, 373 Highland Avenue","['Island', 'Street', 'Our', 'address', 'is', 'Highland', 'Highland', 'Avenue']","Highland , Highland , Avenue",['373'],"['373 Highland', '373 Avenue']"
3,sample882-25818-20200501-0044.wav,0.7114676240000001, please request at 2525 Rockdale Circle,"['please', 'request', 'at', 'Rockdale', 'Circle']",Circle,['2525'],['2525 Circle']
4,sample644-25818-20200501-1439.wav,0.8200197220000001,that's cool is that $12 Street Hyde Park letter 28 for medical assistance $12 Street Hyde Park new Xbox 3831 River and Ellis Street 1417,"['that', 'cool', 'is', 'that', 'Street', 'Hyde', 'Park', 'letter', 'for', 'medical', 'assistance', 'Street', 'Hyde', 'Park', 'new', 'Xbox', 'River', 'and', 'Ellis', 'Street']","Hyde , Park , Hyde , Park , New , River , Ellis",['3831'],"['3831 Hyde', '3831 New', '3831 Ellis', '3831 Park', '3831 River']"
5,sample12-25818-20200501-0413.wav,0.544733942,7113 Oak Street 35414,"['Oak', 'Street']",Oak,['7113'],['7113 Oak']
6,sample315-25818-20200501-1509.wav,0.8469858170000001,what happened to medicube response 30 Adams Ave General sickness and into meta 2:30 out of Staff General sickness check the brakes just box 3211 Lexington Street at Milton Street,"['what', 'happened', 'to', 'medicube', 'response', 'Adams', 'Ave', 'General', 'sickness', 'and', 'into', 'meta', 'out', 'of', 'Staff', 'General', 'sickness', 'check', 'the', 'brakes', 'just', 'box', 'Lexington', 'Street', 'at', 'Milton', 'Street']","Adams , The , Lexington , Milton",['3211'],"['3211 Adams', '3211 The', '3211 Milton', '3211 Lexington']"
7,sample345-25818-20200501-0712.wav,0.8434619309999999,342 Hanover Street looks like an angry customer white male Verizon gray jacket Buju crash in a store,"['Hanover', 'Street', 'looks', 'like', 'an', 'angry', 'customer', 'white', 'male', 'Verizon', 'gray', 'jacket', 'Buju', 'crash', 'in', 'a', 'store']","Hanover , White , Gray",['342'],"['342 Gray', '342 White', '342 Hanover']"
8,sample532-25818-20200501-0113.wav,0.6997470859999999,15 South Austin Street 58th Street South Boston Red Sox 713 a street and natural Street 0 1 0 8,"['South', 'Austin', 'Street', 'Street', 'South', 'Boston', 'Red', 'Sox', 'a', 'street', 'and', 'natural', 'Street']","South , Austin , South , Boston , Red","['15', '713']","['713 Austin', '713 South', '15 Austin', '15 Red', '713 Red', '15 South', '713 Boston', '15 Boston']"
9,sample1098-25818-20200501-0811.wav,0.773221672,1 Sumner Street at Lyman Street for person filling space and just bring a medic one the corner of Sumner Street in Lyman Street for Christmas feelings pink nearest box number seven being mistreated language,"['Sumner', 'Street', 'at', 'Lyman', 'Street', 'for', 'person', 'filling', 'space', 'and', 'just', 'bring', 'a', 'medic', 'one', 'the', 'corner', 'of', 'Sumner', 'Street', 'in', 'Lyman', 'Street', 'for', 'Christmas', 'feelings', 'pink', 'nearest', 'box', 'number', 'seven', 'being', 'mistreated', 'language']","Sumner , Lyman , The , Sumner , Lyman , Seven",['1'],"['1 The', '1 Seven', '1 Sumner', '1 Lyman']"
10,sample860-25818-20200501-0044.wav,0.839034677,Washington Street Jamaica Plain your Xbox 255 Washington Street 00 nineteen,"['Washington', 'Street', 'Jamaica', 'Plain', 'your', 'Xbox', 'Washington', 'Street', 'nineteen']","Washington , Plain , Washington",['255'],"['255 Washington', '255 Plain']"
11,sample1013-25818-20200501-0343.wav,0.72653991,20 Old Road 316,"['Old', 'Road']",Old,['20'],['20 Old']
12,sample119-25818-20200501-0941.wav,0.653892994,2012 15:33 neighbor Street on the phone number unit 505 the medically advised to review,"['neighbor', 'Street', 'on', 'the', 'phone', 'number', 'unit', 'the', 'medically', 'advised', 'to', 'review']","The , The",['2012'],['2012 The']
13,sample987-25818-20200501-0143.wav,0.826483667,Boston direct box 1598 hemenway Street at Gainsborough Street zero one twenty-two,"['Boston', 'direct', 'box', 'hemenway', 'Street', 'at', 'Gainsborough', 'Street', 'zero', 'one']","Boston , Hemenway , Gainsborough",['1598'],"['1598 Hemenway', '1598 Gainsborough', '1598 Boston']"
14,sample590-25818-20200501-1409.wav,0.815221786,exactly one that's all the elevator 81 Essex Street Boston nearest box 1432 Hampton Inn Essex Street 1405,"['exactly', 'one', 'that', 'all', 'the', 'elevator', 'Essex', 'Street', 'Boston', 'nearest', 'box', 'Hampton', 'Inn', 'Essex', 'Street']","The , Essex , Boston , Hampton , Essex",['81'],"['81 Hampton', '81 Boston', '81 Essex', '81 The']"
15,sample666-25818-20200501-1439.wav,0.638603926,585 response to the respiratory one they are very Street in Hyde Park one night years ago Gramercy department number for K5,"['response', 'to', 'the', 'respiratory', 'one', 'they', 'are', 'very', 'Street', 'in', 'Hyde', 'Park', 'one', 'night', 'years', 'ago', 'Gramercy', 'department', 'number', 'for']","The , Hyde , Park",['585'],"['585 Park', '585 Hyde', '585 The']"
16,sample657-25818-20200501-1439.wav,0.761005163,15120 Huntington Avenue Boston latter fifteen and his own magical 120 Huntington Avenue Boston nearest box 1563 Huntington Ave in West Newton Street 14th,"['Huntington', 'Avenue', 'Boston', 'latter', 'fifteen', 'and', 'his', 'own', 'magical', 'Huntington', 'Avenue', 'Boston', 'nearest', 'box', 'Huntington', 'Ave', 'in', 'West', 'Newton', 'Street']","Huntington , Avenue , Boston , Huntington , Avenue , Boston , Huntington , West , Newton","['15120', '120']","['120 Avenue', '15120 Boston', '15120 Newton', '15120 Avenue', '120 Boston', '120 Huntington', '120 Newton', '120 West', '15120 Huntington', '15120 West']"
17,sample669-25818-20200501-1439.wav,0.760150015,"for division one emails 1929 RAV4 respiratory to 1212 Commonwealth Avenue once you once you, have a safe, 3 on the first division one","['for', 'division', 'one', 'emails', 'respiratory', 'to', 'Commonwealth', 'Avenue', 'once', 'you', 'once', 'you', 'have', 'a', 'safe', 'on', 'the', 'first', 'division', 'one']","Commonwealth , Avenue , The","['1929', '1212']","['1929 The', '1929 Commonwealth', '1212 Commonwealth', '1212 The', '1929 Avenue', '1212 Avenue']"
18,sample833-25818-20200501-0911.wav,0.7743806240000001, explain everything 55 a medical assistance 940 Parker Street Jamaica Plain your Xbox to 390 for each Square 0 9 0 1,"['explain', 'everything', 'a', 'medical', 'assistance', 'Parker', 'Street', 'Jamaica', 'Plain', 'your', 'Xbox', 'to', 'for', 'each', 'Square']","Parker , Plain",['940'],"['940 Plain', '940 Parker']"
19,sample929-25818-20200501-1011.wav,0.682294011,well before you take me off the 541 River Street,"['well', 'before', 'you', 'take', 'me', 'off', 'the', 'River', 'Street']","Well , Off , The , River",['541'],"['541 Off', '541 River', '541 Well', '541 The']"
20,sample918-25818-20200501-0642.wav,0.625022471, 725 hours in San Jose,"['hours', 'in', 'San', 'Jose']",San,['725'],['725 San']
21,sample181-25818-20200501-1040.wav,0.721795082,what is out of service NBC a escape hatch on 7th Street,"['what', 'is', 'out', 'of', 'service', 'NBC', 'a', 'escape', 'hatch', 'on', 'Street']","Service , Hatch , 7th",['on'],"['on Service', 'on 7th', 'on Hatch']"
22,sample1071-25818-20200501-1110.wav,0.714638412,I said usually streets for 575 Boylston Street for 6,"['I', 'said', 'usually', 'streets', 'for', 'Boylston', 'Street', 'for']",Boylston,['575'],['575 Boylston']
23,sample456-25818-20200501-0841.wav,0.663236022,Tekken 4 minutes for a response 62 Sheffield Road for muscle growth engine 4matic 362 Sheffield Road for possible stroke their socks 269 Highland cross the street,"['Tekken', 'minutes', 'for', 'a', 'response', 'Sheffield', 'Road', 'for', 'muscle', 'growth', 'engine', 'Sheffield', 'Road', 'for', 'possible', 'stroke', 'their', 'socks', 'Highland', 'cross', 'the', 'street']","Sheffield , Sheffield , Highland , Cross , The","['62', '362', '269']","['62 Highland', '269 Sheffield', '269 The', '362 Sheffield', '362 Highland', '62 Cross', '362 Cross', '269 Highland', '269 Cross', '362 The', '62 The', '62 Sheffield']"
